Data set,Condition number,min,median,max,min,median,max,min,median,max,min,median,max
JK,47.09986527334644,73.08303156749004,166.84554007385276,414.6348987604526,71.9144215053849,168.3354161596256,416.1268345280227,444.4575556616944,17330.830446855714,41619007.542282835,404655812.0399024,15778832372.9706,37891972085146.695
JSE,5534.039408008959,7263.052403469647,65292.622293470755,1699258.492684723,7276.133898183397,65858.86331710908,1832295.2057288885,132286.46258680293,3289950.5746950973,2523491755.015088,1.8538307362077422e+18,4.610457772269393e+19,3.5363607783502583e+22
BG,47.81616891570688,62.54812438710448,223.366216449987,920.6360995374115,60.14854293620755,227.75992890697484,2050.7557096222317,1108.9958096535165,31257.309811740462,35872534.38400259,1144514260.3211834,32258405764.16886,37021444804079.234
Ind10,122.6101581856704,141.7913681994677,470.04347696726643,2581.9878339264747,141.23261054774622,471.1138153109226,2553.8599083961744,4320.918909109294,174337.19912340998,3452335886.4316053,52114825308.37789,2102689929365.3381,4.163880074393957e+16
Ind12,151.977117489463,195.59992668827724,544.3925921179238,2298.822058703733,191.99339070775568,544.3279639753998,2506.860981472582,3317.5466251146827,128360.26497729038,1719173505.2097178,78193193763.23944,3025398044687.992,4.052020434900553e+16
Ind17,197.45647163153748,268.4244590013775,713.7393932525404,2359.9268579260765,263.34450855336746,713.5562217951892,2265.2364023168843,4958.191817965042,191907.62866042202,3456386013.2071886,262176540635.56094,10147586065148.17,1.827648790082018e+17
Ind30,291.43171531054435,480.34114897141035,1049.1616387105598,2316.735286131345,477.11662238826824,1048.4609299780186,2378.736753764607,7196.019351247851,292071.06230446533,1340269768.5520759,1348528795001.4558,54733904743729.5,2.5116558032414022e+17
Ind38,387.9136067335784,729.33414841831,1678.423698178442,4112.960073779245,737.4336531473841,1679.9965903633622,3936.6906561805304,12248.02781061197,520807.04307775473,4817965563.769389,6428831801294.346,273364898634644.66,2.5288879749691387e+18
Ind48,461.2279742749286,872.2760234953114,1793.4559704010933,3720.7086740871628,876.8521603333463,1793.2137528358573,3748.0609899535766,12149.27914044196,530057.313854111,3643811089.0562477,10469267746073.598,456760592596130.5,3.1399421722570035e+18
Ind49,812.0016034912804,1834.5200072933067,4923.980734346239,12981.177934814641,1820.1130644984453,4932.657469325595,12702.627170744778,41517.48553596372,1425731.7622691377,4614355070.906378,195759568108553.12,6722484042919523.0,2.1757198070590353e+19
Ind5,37.97640711036666,40.65130507638426,95.39264949446691,1049.5281952412838,39.4494651451025,93.95633649871172,1279.4196948614094,1191.7955849091036,24777.26995297342,77398583.36365363,307331611.07833374,6389382868.400921,19958985943182.355
